Asia Laos 743339.50 438737.25 304602.25
Asia China 850082.40 530868.60 319213.80
Asia India 3567225.26 2682558.52 884666.74
Asia Japan 316970.00 190914.25 126055.75
Asia Bangladesh 769896.60 533831.40 236065.20
Asia Bhutan 510337.60 167372.80 342964.80
Asia Sri Lanka 3880560.39 3128236.64 752323.75
Asia Cambodia 681628.20 472627.80 209000.40
Asia Taiwan 82657.90 55378.18 27279.72
Asia Sri Lanka 3024219.24 2437914.24 586305.00
Asia Indonesia 2696660.61 2173859.36 522801.25
Asia North Korea 3475107.93 3003951.53 471156.40
Asia India 139022.73 96395.67 42627.06
Asia Sri Lanka 1540137.82 909027.21 631110.61
Asia Laos 1254881.67 1011597.92 243283.75
Asia Bhutan 5322102.28 4002228.56 1319873.72
Asia Myanmar 1235440.26 788971.68 446468.58
Asia Singapore 1301981.60 784196.74 517784.86
Asia Thailand 170525.30 97084.19 73441.11
Asia Laos 1141738.66 673882.23 467856.43
Asia Nepal 740555.53 513486.87 227068.66
Asia Indonesia 1090163.76 942358.96 147804.80
Asia Mongolia 1084915.86 874583.36 210332.50
Asia Tajikistan 3273022.62 2829265.02 443757.60
Asia Myanmar 2070636.12 1789898.52 280737.60
Asia Tajikistan 1634047.28 1020447.42 613599.86
Asia Brunei 92527.50 61990.50 30537.00
Asia Myanmar 1480178.58 945265.44 534913.14
Asia Bangladesh 252264.40 151941.41 100322.99
Asia Kyrgyzstan 1591369.08 1375610.68 215758.40
Asia Uzbekistan 1276162.80 726550.44 549612.36
Asia Vietnam 162091.60 92282.68 69808.92
Asia Thailand 305007.42 194782.56 110224.86
Asia Kyrgyzstan 3755677.40 2824274.80 931402.60
Asia Sri Lanka 34490.06 23914.74 10575.32
Asia Taiwan 2392960.08 2068521.68 324438.40
Asia Bhutan 237465.44 77880.32 159585.12
Asia Mongolia 367215.55 246022.81 121192.74
Asia Uzbekistan 427477.05 286396.11 141080.94
Asia Kyrgyzstan 4382643.30 3532980.80 849662.50
Asia North Korea 1215132.80 758839.20 456293.60
Asia Maldives 448125.59 310721.61 137403.98
